                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9777,                 2.6014,                 1.2491,                  0.075,                0.64286,                 0.4133,                 0.2706,                 1.9254,                 2.3576,                 1.2527,              3.636e-05,              3.636e-05,              3.636e-05
                      1,                 1.8582,                 2.5061,                 1.2151,                0.07131,                0.64286,                0.42295,                0.27716,                 1.8451,                 2.1971,                 1.2175,              8.127e-05,              8.127e-05,              8.127e-05
                      2,                 1.7261,                 2.3255,                 1.1106,                0.06795,                0.71429,                 0.4409,                0.30237,                  1.749,                 2.0263,                 1.1759,             0.00012558,             0.00012558,             0.00012558
                      3,                 1.7199,                 2.1753,                 1.1287,                0.74085,                0.47403,                0.51769,                0.31756,                 1.6558,                 1.8227,                 1.1456,             0.00016929,             0.00016929,             0.00016929
                      4,                  1.667,                 2.0909,                 1.1392,                0.71355,                0.47403,                0.51468,                0.31662,                 1.6466,                 1.8362,                 1.1427,              0.0002124,              0.0002124,              0.0002124
                      5,                 1.7305,                 2.1589,                 1.1304,                0.71355,                0.47403,                0.51468,                0.31662,                 1.6466,                 1.8362,                 1.1427,             0.00025491,             0.00025491,             0.00025491
                      6,                 1.7264,                 2.1883,                 1.0591,                0.71355,                0.47403,                0.51468,                0.31662,                 1.6466,                 1.8362,                 1.1427,             0.00029682,             0.00029682,             0.00029682
                      7,                 1.7326,                  1.976,                 1.1499,                0.73278,                0.54698,                0.56433,                0.35253,                 1.5564,                 1.5227,                 1.0924,             0.00033813,             0.00033813,             0.00033813
                      8,                 1.6487,                 1.8415,                 1.1171,                0.73278,                0.54698,                0.56433,                0.35253,                 1.5564,                 1.5227,                 1.0924,             0.00037884,             0.00037884,             0.00037884
                      9,                 1.5902,                 1.8288,                 1.1202,                0.73278,                0.54698,                0.56433,                0.35253,                 1.5564,                 1.5227,                 1.0924,             0.00041895,             0.00041895,             0.00041895
                     10,                 1.6976,                 1.7443,                 1.1513,                0.61621,                0.55672,                0.54567,                0.36079,                 1.5249,                 1.2291,                 1.0801,             0.00045846,             0.00045846,             0.00045846
                     11,                 1.5249,                 1.4549,                 1.1325,                0.61621,                0.55672,                0.54567,                0.36079,                 1.5249,                 1.2291,                 1.0801,             0.00049737,             0.00049737,             0.00049737
                     12,                  1.666,                 1.4554,                 1.1204,                0.61621,                0.55672,                0.54567,                0.36079,                 1.5249,                 1.2291,                 1.0801,             0.00053568,             0.00053568,             0.00053568
                     13,                 1.6798,                 1.5932,                 1.1168,                0.61621,                0.55672,                0.54567,                0.36079,                 1.5249,                 1.2291,                 1.0801,              0.0005734,              0.0005734,              0.0005734
                     14,                 1.6424,                 1.5649,                 1.0837,                0.61621,                0.55672,                0.54567,                0.36079,                 1.5249,                 1.2291,                 1.0801,             0.00061051,             0.00061051,             0.00061051
                     15,                 1.6354,                 1.4823,                 1.1097,                0.69242,                0.52947,                0.58105,                 0.3727,                 1.5794,                 1.0816,                 1.0946,             0.00064702,             0.00064702,             0.00064702
